job,graph,iter,anneal-power,quadratic-model,graph_class,tstop,shil-coeff,cubic-model,project
1,uf100-01.pubo,0,0,H4,oscillator_model/sat_pubo,100,0,H8,False
2,uf100-01.pubo,1,0,H4,oscillator_model/sat_pubo,100,0,H8,False
3,uf100-01.pubo,2,0,H4,oscillator_model/sat_pubo,100,0,H8,False
4,uf100-01.pubo,3,0,H4,oscillator_model/sat_pubo,100,0,H8,False
5,uf100-01.pubo,4,0,H4,oscillator_model/sat_pubo,100,0,H8,False
6,uf100-01.pubo,5,0,H4,oscillator_model/sat_pubo,100,0,H8,False
7,uf100-01.pubo,6,0,H4,oscillator_model/sat_pubo,100,0,H8,False
8,uf100-01.pubo,7,0,H4,oscillator_model/sat_pubo,100,0,H8,False
9,uf100-01.pubo,8,0,H4,oscillator_model/sat_pubo,100,0,H8,False
10,uf100-01.pubo,9,0,H4,oscillator_model/sat_pubo,100,0,H8,False
11,uf100-01.pubo,10,0,H4,oscillator_model/sat_pubo,100,0,H8,False
12,uf100-01.pubo,11,0,H4,oscillator_model/sat_pubo,100,0,H8,False
13,uf100-01.pubo,12,0,H4,oscillator_model/sat_pubo,100,0,H8,False
14,uf100-01.pubo,13,0,H4,oscillator_model/sat_pubo,100,0,H8,False
15,uf100-01.pubo,14,0,H4,oscillator_model/sat_pubo,100,0,H8,False
16,uf100-01.pubo,15,0,H4,oscillator_model/sat_pubo,100,0,H8,False
17,uf100-01.pubo,16,0,H4,oscillator_model/sat_pubo,100,0,H8,False
18,uf100-01.pubo,17,0,H4,oscillator_model/sat_pubo,100,0,H8,False
19,uf100-01.pubo,18,0,H4,oscillator_model/sat_pubo,100,0,H8,False
20,uf100-01.pubo,19,0,H4,oscillator_model/sat_pubo,100,0,H8,False
21,uf100-01.pubo,20,0,H4,oscillator_model/sat_pubo,100,0,H8,False
22,uf100-01.pubo,21,0,H4,oscillator_model/sat_pubo,100,0,H8,False
23,uf100-01.pubo,22,0,H4,oscillator_model/sat_pubo,100,0,H8,False
24,uf100-01.pubo,23,0,H4,oscillator_model/sat_pubo,100,0,H8,False
25,uf100-01.pubo,24,0,H4,oscillator_model/sat_pubo,100,0,H8,False
26,uf100-01.pubo,25,0,H4,oscillator_model/sat_pubo,100,0,H8,False
27,uf100-01.pubo,26,0,H4,oscillator_model/sat_pubo,100,0,H8,False
28,uf100-01.pubo,27,0,H4,oscillator_model/sat_pubo,100,0,H8,False
29,uf100-01.pubo,28,0,H4,oscillator_model/sat_pubo,100,0,H8,False
30,uf100-01.pubo,29,0,H4,oscillator_model/sat_pubo,100,0,H8,False
31,uf100-01.pubo,30,0,H4,oscillator_model/sat_pubo,100,0,H8,False
32,uf100-01.pubo,31,0,H4,oscillator_model/sat_pubo,100,0,H8,False
33,uf100-01.pubo,32,0,H4,oscillator_model/sat_pubo,100,0,H8,False
34,uf100-01.pubo,33,0,H4,oscillator_model/sat_pubo,100,0,H8,False
35,uf100-01.pubo,34,0,H4,oscillator_model/sat_pubo,100,0,H8,False
36,uf100-01.pubo,35,0,H4,oscillator_model/sat_pubo,100,0,H8,False
37,uf100-01.pubo,36,0,H4,oscillator_model/sat_pubo,100,0,H8,False
38,uf100-01.pubo,37,0,H4,oscillator_model/sat_pubo,100,0,H8,False
39,uf100-01.pubo,38,0,H4,oscillator_model/sat_pubo,100,0,H8,False
40,uf100-01.pubo,39,0,H4,oscillator_model/sat_pubo,100,0,H8,False
41,uf100-01.pubo,40,0,H4,oscillator_model/sat_pubo,100,0,H8,False
42,uf100-01.pubo,41,0,H4,oscillator_model/sat_pubo,100,0,H8,False
43,uf100-01.pubo,42,0,H4,oscillator_model/sat_pubo,100,0,H8,False
44,uf100-01.pubo,43,0,H4,oscillator_model/sat_pubo,100,0,H8,False
45,uf100-01.pubo,44,0,H4,oscillator_model/sat_pubo,100,0,H8,False
46,uf100-01.pubo,45,0,H4,oscillator_model/sat_pubo,100,0,H8,False
47,uf100-01.pubo,46,0,H4,oscillator_model/sat_pubo,100,0,H8,False
48,uf100-01.pubo,47,0,H4,oscillator_model/sat_pubo,100,0,H8,False
49,uf100-01.pubo,48,0,H4,oscillator_model/sat_pubo,100,0,H8,False
50,uf100-01.pubo,49,0,H4,oscillator_model/sat_pubo,100,0,H8,False
51,uf100-01.pubo,50,0,H4,oscillator_model/sat_pubo,100,0,H8,False
52,uf100-01.pubo,51,0,H4,oscillator_model/sat_pubo,100,0,H8,False
53,uf100-01.pubo,52,0,H4,oscillator_model/sat_pubo,100,0,H8,False
54,uf100-01.pubo,53,0,H4,oscillator_model/sat_pubo,100,0,H8,False
55,uf100-01.pubo,54,0,H4,oscillator_model/sat_pubo,100,0,H8,False
56,uf100-01.pubo,55,0,H4,oscillator_model/sat_pubo,100,0,H8,False
57,uf100-01.pubo,56,0,H4,oscillator_model/sat_pubo,100,0,H8,False
58,uf100-01.pubo,57,0,H4,oscillator_model/sat_pubo,100,0,H8,False
59,uf100-01.pubo,58,0,H4,oscillator_model/sat_pubo,100,0,H8,False
60,uf100-01.pubo,59,0,H4,oscillator_model/sat_pubo,100,0,H8,False
61,uf100-01.pubo,60,0,H4,oscillator_model/sat_pubo,100,0,H8,False
62,uf100-01.pubo,61,0,H4,oscillator_model/sat_pubo,100,0,H8,False
63,uf100-01.pubo,62,0,H4,oscillator_model/sat_pubo,100,0,H8,False
64,uf100-01.pubo,63,0,H4,oscillator_model/sat_pubo,100,0,H8,False
65,uf100-01.pubo,64,0,H4,oscillator_model/sat_pubo,100,0,H8,False
66,uf100-01.pubo,65,0,H4,oscillator_model/sat_pubo,100,0,H8,False
67,uf100-01.pubo,66,0,H4,oscillator_model/sat_pubo,100,0,H8,False
68,uf100-01.pubo,67,0,H4,oscillator_model/sat_pubo,100,0,H8,False
69,uf100-01.pubo,68,0,H4,oscillator_model/sat_pubo,100,0,H8,False
70,uf100-01.pubo,69,0,H4,oscillator_model/sat_pubo,100,0,H8,False
71,uf100-01.pubo,70,0,H4,oscillator_model/sat_pubo,100,0,H8,False
72,uf100-01.pubo,71,0,H4,oscillator_model/sat_pubo,100,0,H8,False
73,uf100-01.pubo,72,0,H4,oscillator_model/sat_pubo,100,0,H8,False
74,uf100-01.pubo,73,0,H4,oscillator_model/sat_pubo,100,0,H8,False
75,uf100-01.pubo,74,0,H4,oscillator_model/sat_pubo,100,0,H8,False
76,uf100-01.pubo,75,0,H4,oscillator_model/sat_pubo,100,0,H8,False
77,uf100-01.pubo,76,0,H4,oscillator_model/sat_pubo,100,0,H8,False
78,uf100-01.pubo,77,0,H4,oscillator_model/sat_pubo,100,0,H8,False
79,uf100-01.pubo,78,0,H4,oscillator_model/sat_pubo,100,0,H8,False
80,uf100-01.pubo,79,0,H4,oscillator_model/sat_pubo,100,0,H8,False
